SongName,ArtistName,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Am I Good Enough Now?,Carlos Rafael Rivera,79,0.733,0.96,7,-3.597,1,0.0295,0.0514,0.00199,0.287,0.811,124.01,189672
Baarishein,Anuv Jain,87,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41E-06,0.118,0.637,119.976,154983
Baarishein,Anuv Jain,95,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,178147
u love u (with Tate McRae),blackbear,0,0.671,0.336,10,-8.494,0,0.241,0.705,0.00751,0.0577,0.518,75.051,212496
By Your Side (feat. Tom Grennan),Calvin Harris,76,0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,132000
Leave Before You Love Me (with Jonas Brothers),Marshmello,74,0.572,0.759,2,-4.312,1,0.0506,0.127,0,0.224,0.519,80.95,163733
good 4 u,Olivia Rodrigo,85,0.595,0.784,1,-4.878,1,0.102,0.216,0,0.0608,0.479,124.111,183726
Lost Cause,Billie Eilish,74,0.572,0.759,2,-4.312,1,0.0506,0.127,0,0.224,0.519,80.95,163733
seaside_demo,SEB,73,0.591,0.831,4,-6.612,1,0.0355,0.235,0.00142,0.0571,0.678,93.007,187307
Our Song,Anne-Marie,76,0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,132000
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,82,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77E-05,0.347,0.866,102.931,122773
Our Song,Anne-Marie,77,0.39,0.83,11,-5.201,0,0.0563,0.0021,0,0.156,0.191,90.021,168030
Last Train Home,John Mayer,86,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,178627
seaside_demo,SEB,86,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427
Build a Bitch,Bella Poarch,83,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,87,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713
7 rings,Ariana Grande,0,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088
Wake Me Up,Avicii,72,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03E-06,0.193,0.549,120.97,227833
Love The Way You Lie,Eminem,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
Shape of You,Ed Sheeran,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
bad guy,Billie Eilish,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
Rather Be (feat. Jess Glynne),Clean Bandit,57,0.614,0.228,5,-12.336,1,0.0316,0.835,0,0.106,0.146,109.569,131500
Sygrayem (Let's Play),Carlos Rafael Rivera,73,0.66,0.139,6,-16.339,0,0.0323,0.964,1.10E-05,0.105,0.312,79.975,189000
Sygrayem (Let's Play),Carlos Rafael Rivera,76,0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,132000
Sygrayem (Let's Play),Carlos Rafael Rivera,82,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600
Cocaine,Pink Sweat$,90,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
Honesty,Pink Sweat$,89,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,203064
seaside_demo,SEB,70,0.731,0.725,2,-5.21,1,0.249,0.00432,0,0.0556,0.351,149.963,179200
Mask Off,Future,0,0.671,0.336,10,-8.494,0,0.241,0.705,0.00751,0.0577,0.518,75.051,212496
Kiss Me More (feat. SZA),Doja Cat,0,0.564,0.849,0,-3.516,0,0.0517,0.00868,4.68E-06,0.12,0.427,102.028,212647
Levitating (feat. DaBaby),Dua Lipa,0,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46E-05,0.11,0.213,146.277,309600
Mask Off - Marshmello Remix,Future,77,0.818,0.913,4,-3.06,0,0.0426,0.093,3.69E-05,0.161,0.536,119.986,219160
Lost Cause,Billie Eilish,76,0.538,0.804,8,-5.194,1,0.0358,0.0041,0,0.33,0.507,144.992,197640
Hymn for the Weekend - Seeb Remix,Coldplay,81,0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96E-05,0.14,0.106,117.97,247160
The Scientist,Coldplay,84,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63E-05,0.135,0.163,99.988,205947
My Way,Calvin Harris,0,0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,263787
All Night,The Vamps,81,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,222160
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Let Me Love You,DJ Snake,82,0.823,0.544,5,-7.132,1,0.0715,0.0215,0.00315,0.0966,0.664,149.903,186088
Adventure of a Lifetime,Coldplay,78,0.73,0.861,1,-4.1,1,0.0451,0.39,0,0.213,0.704,117.965,196613
This Is What You Came For (feat. Rihanna),Calvin Harris,79,0.647,0.823,2,-5.231,1,0.0762,0.0598,0,0.119,0.396,99.933,230333
Baarishein,Anuv Jain,79,0.691,0.829,0,-7.179,1,0.0412,0.0289,0,0.254,0.866,93.059,169154
Baila Conmigo (with Rauw Alejandro),Selena Gomez,0,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85E-05,0.1,0.468,115.982,258004
Perfect Strangers,Jonas Blue,59,0.751,0.857,1,-4.385,0,0.0752,0.31,0,0.0801,0.501,104.984,151999
Perfect,One Direction,79,0.748,0.734,0,-6.499,1,0.124,0.524,1.15E-05,0.0975,0.368,97.753,80081
Jalebi Baby (Tesher x Jason Derulo),Tesher,0,0.507,0.828,10,-6.023,1,0.0449,0.00711,2.44E-05,0.261,0.489,178.032,211295
Love Again,Dua Lipa,0,0.471,0.335,4,-8.767,0,0.0273,0.593,2.11E-05,0.297,0.111,145.252,243907
Break My Heart Myself (feat. Travis Barker),Bebe Rexha,90,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
SugarCrash!,ElyOtto,79,0.733,0.96,7,-3.597,1,0.0295,0.0514,0.00199,0.287,0.811,124.01,189672
Higher Power,Coldplay,87,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41E-06,0.118,0.637,119.976,154983
Astronomy,Conan Gray,95,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,178147
Kiss Me More (feat. SZA),Doja Cat,76,0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,132000
By Your Side (feat. Tom Grennan),Calvin Harris,74,0.572,0.759,2,-4.312,1,0.0506,0.127,0,0.224,0.519,80.95,163733
Leave Before You Love Me (with Jonas Brothers),Marshmello,85,0.595,0.784,1,-4.878,1,0.102,0.216,0,0.0608,0.479,124.111,183726
good 4 u,Olivia Rodrigo,78,0.715,0.639,5,-5.017,0,0.0752,0.0622,0,0.157,0.151,149.996,205800
seaside_demo,SEB,84,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39E-05,0.0958,0.421,150.011,177000
Our Song,Anne-Marie,62,0.945,0.535,9,-6.181,1,0.401,0.192,0,0.323,0.65,107.01,152400
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,0,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,216387
Hide (feat. Seezyn),Juice WRLD,82,0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,189323
HUMBLE.,Kendrick Lamar,88,0.445,0.537,4,-8.532,0,0.04,0.695,1.65E-05,0.0944,0.131,122.769,244360
Disrespectful,Blueface,72,0.606,0.784,7,-6.293,1,0.268,0.435,0,0.689,0.48,80.985,278573
Dior,Pop Smoke,81,0.504,0.788,3,-4.113,0,0.215,0.0134,0,0.363,0.228,170.039,186022
Bandit (with YoungBoy Never Broke Again),Juice WRLD,52,0.568,0.82,10,-4.437,0,0.342,0.252,0,0.0776,0.641,170.002,175059
Another Love,Tom Odell,81,0.504,0.788,3,-4.113,0,0.215,0.0134,0,0.363,0.228,170.039,186022
Crooked Smile (feat. TLC),J. Cole,81,0.504,0.788,3,-4.113,0,0.215,0.0134,0,0.363,0.228,170.039,186022
Into Your Arms (feat. Ava Max),Witt Lowry,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Into Your Arms (feat. Ava Max) - BEAUZ Remix,Witt Lowry,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Into Your Arms (feat. Ava Max),Witt Lowry,64,0.652,0.715,0,-5.919,1,0.0388,0.0291,0,0.156,0.617,97.981,191036
Into Your Arms (feat. Ava Max),Witt Lowry,81,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
Baarishein,Anuv Jain,81,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
Baarishein,Anuv Jain,66,0.494,0.651,11,-4.127,0,0.0384,0.0819,0,0.104,0.162,149.979,222400
anxiety (with FRND),blackbear,59,0.563,0.555,2,-5.429,1,0.0288,0.11,1.02E-06,0.108,0.267,144.336,366253
Experience,Ludovico Einaudi,74,0.572,0.759,2,-4.312,1,0.0506,0.127,0,0.224,0.519,80.95,163733
Experience,Ludovico Einaudi,77,0.286,0.445,6,-8.087,1,0.0347,0.355,0,0.114,0.278,50.827,217352
Nightlight,ILLENIUM,85,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,241688
Good Things Fall Apart vs. Sad Songs (With Said The Sky feat. Annika Wells),ILLENIUM,78,0.528,0.511,3,-8.144,1,0.0324,0.126,0,0.101,0.351,100.1,209880
Our Song,Anne-Marie,77,0.585,0.696,4,-5.6,0,0.0307,0.204,0,0.344,0.522,104.01,217640
If You Love Her,Forest Blakk,0,0.69,0.809,2,-4.198,1,0.0603,0.524,0,0.147,0.864,123.912,190800
Take Me To Church,Hozier,76,0.423,0.634,6,-5.877,0,0.0578,0.196,0,0.189,0.467,150.978,195840
Takeaway,The Chainsmokers,80,0.749,0.461,10,-2.961,0,0.0416,0.0516,6.24E-06,0.0738,0.42,139.02,204887
Call You Mine,The Chainsmokers,0,0.658,0.791,8,-4.66,1,0.0512,0.102,0,0.139,0.744,75.017,186227
If I Can't Have You,Shawn Mendes,3,0.618,0.725,5,-4.952,1,0.0479,0.255,0,0.424,0.242,88.982,144546
Lily,Alan Walker,60,0.356,0.661,11,-9.818,1,0.0633,0.129,0,0.114,0.551,99.951,193187
Teeth,5 Seconds of Summer,0,0.523,0.607,1,-4.754,0,0.03,0.512,0,0.106,0.0651,145.837,217867
Hate Me,Ellie Goulding,85,0.595,0.784,1,-4.878,1,0.102,0.216,0,0.0608,0.479,124.111,183726
Better Days,OneRepublic,87,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41E-06,0.118,0.637,119.976,154983
Do You Mean,The Chainsmokers,0,0.471,0.335,4,-8.767,0,0.0273,0.593,2.11E-05,0.297,0.111,145.252,243907
Talking to the Moon,Bruno Mars,66,0.618,0.867,0,-4.915,1,0.0439,0.00699,1.03E-06,0.202,0.579,98.03,173082
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,87,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713
Leave Before You Love Me (with Jonas Brothers),Marshmello,0,0.564,0.849,0,-3.516,0,0.0517,0.00868,4.68E-06,0.12,0.427,102.028,212647
Astronomy,Conan Gray,67,0.614,0.605,0,-5.63,1,0.0319,0.21,0,0.162,0.333,127.099,217867
Want You Back,5 Seconds of Summer,67,0.614,0.605,0,-5.63,1,0.0319,0.21,0,0.162,0.333,127.099,217867
Shape of You,Ed Sheeran,0,0.671,0.336,10,-8.494,0,0.241,0.705,0.00751,0.0577,0.518,75.051,212496
Hymn for the Weekend - Seeb Remix,Coldplay,77,0.818,0.913,4,-3.06,0,0.0426,0.093,3.69E-05,0.161,0.536,119.986,219160
Two of Us,Louis Tomlinson,89,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,203064
Two of Us,Louis Tomlinson,58,0.444,0.719,1,-3.513,0,0.0666,0.122,5.30E-06,0.115,0.159,149.941,272000
Lost Cause,Billie Eilish,64,0.652,0.715,0,-5.919,1,0.0388,0.0291,0,0.156,0.617,97.981,191036
My Way,Calvin Harris,66,0.272,0.281,10,-8.131,1,0.0307,0.618,0,0.111,0.152,138.856,305893
Levitating (feat. DaBaby),Dua Lipa,0,0.555,0.844,3,-6.567,0,0.0553,0.00818,0,0.0895,0.464,105.193,216800
One More Day (with Chandler Leighton),Jason Ross,89,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,204347
anxiety (with FRND),blackbear,0,0.461,0.803,9,-3.518,1,0.0564,0.114,7.47E-05,0.225,0.237,136.18,188000
A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,Christina Perri,82,0.393,0.858,4,-2.868,0,0.0729,0.00359,0,0.102,0.56,176.042,228360
In the End,Linkin Park,81,0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786,202533
Believer,Imagine Dragons,69,0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,231013
Radioactive,Imagine Dragons,0,0.523,0.607,1,-4.754,0,0.03,0.512,0,0.106,0.0651,145.837,217867
Centuries,Fall Out Boy,0,0.471,0.335,4,-8.767,0,0.0273,0.593,2.11E-05,0.297,0.111,145.252,243907
Hall of Fame (feat. will.i.am),The Script,85,0.595,0.784,1,-4.878,1,0.102,0.216,0,0.0608,0.479,124.111,183726
Animals,Maroon 5,87,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713
Talking to the Moon,Bruno Mars,87,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713
Astronomy,Conan Gray,0,0.671,0.336,10,-8.494,0,0.241,0.705,0.00751,0.0577,0.518,75.051,212496
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,89,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,203064
Shape of You,Ed Sheeran,87,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41E-06,0.118,0.637,119.976,154983
Shape of You,Ed Sheeran,87,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41E-06,0.118,0.637,119.976,154983
Lost Cause,Billie Eilish,0,0.564,0.849,0,-3.516,0,0.0517,0.00868,4.68E-06,0.12,0.427,102.028,212647
Levitating (feat. DaBaby),Dua Lipa,67,0.614,0.605,0,-5.63,1,0.0319,0.21,0,0.162,0.333,127.099,217867
Leave Before You Love Me (with Jonas Brothers),Marshmello,66,0.618,0.867,0,-4.915,1,0.0439,0.00699,1.03E-06,0.202,0.579,98.03,173082
Leave Before You Love Me (with Jonas Brothers),Marshmello,77,0.818,0.913,4,-3.06,0,0.0426,0.093,3.69E-05,0.161,0.536,119.986,219160
Hymn for the Weekend - Seeb Remix,Coldplay,58,0.444,0.719,1,-3.513,0,0.0666,0.122,5.30E-06,0.115,0.159,149.941,272000
Two of Us,Louis Tomlinson,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Want You Back,5 Seconds of Summer,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
My Way,Calvin Harris,77,0.585,0.696,4,-5.6,0,0.0307,0.204,0,0.344,0.522,104.01,217640
One More Day (with Chandler Leighton),Jason Ross,74,0.572,0.759,2,-4.312,1,0.0506,0.127,0,0.224,0.519,80.95,163733
Baarishein,Anuv Jain,91,0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,198082
Baarishein,Anuv Jain,90,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
Call You Mine,The Chainsmokers,81,0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,222091
Our Song,Anne-Marie,90,0.442,0.612,2,-7.222,1,0.112,0.584,5.70E-06,0.37,0.178,180.917,215507
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,64,0.474,0.792,5,-3.302,1,0.051,0.0662,1.09E-06,0.277,0.31,141.926,251831
Kiss Me More (feat. SZA),Doja Cat,85,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,226600
Grenade,Bruno Mars,58,0.444,0.719,1,-3.513,0,0.0666,0.122,5.30E-06,0.115,0.159,149.941,272000
deja vu,Olivia Rodrigo,77,0.585,0.696,4,-5.6,0,0.0307,0.204,0,0.344,0.522,104.01,217640
Sideways,ILLENIUM,81,0.504,0.788,3,-4.113,0,0.215,0.0134,0,0.363,0.228,170.039,186022
Night Changes,One Direction,81,0.504,0.788,3,-4.113,0,0.215,0.0134,0,0.363,0.228,170.039,186022
One More Day (with Chandler Leighton),Jason Ross,90,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
Call You Mine,The Chainsmokers,81,0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,222091
Into Your Arms (feat. Ava Max),Witt Lowry,66,0.494,0.651,11,-4.127,0,0.0384,0.0819,0,0.104,0.162,149.979,222400
Into Your Arms (feat. Ava Max),Witt Lowry,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
Kiss Me More (feat. SZA),Doja Cat,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
Grenade,Bruno Mars,72,0.47,0.85,1,-2.825,0,0.0363,0.0627,0,0.118,0.148,149.876,197840
Nightlight,ILLENIUM,67,0.444,0.35,9,-7.194,1,0.0483,0.453,0.109,0.0824,0.0973,95.979,328507
Sygrayem (Let's Play),Carlos Rafael Rivera,67,0.788,0.605,1,-5.586,1,0.0578,0.00899,0.00275,0.318,0.427,103.94,173973
Sygrayem (Let's Play),Carlos Rafael Rivera,74,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561
"Tchaikovsky: Swan Lake, Op. 20, Act 2: Scene (Moderato)",Pyotr Ilyich Tchaikovsky,87,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040
Hero (feat. Christina Perri),Cash Cash,70,0.621,0.907,2,-3.923,1,0.0474,0.091,0,0.067,0.884,128.056,233693
Goodbye To A World,Porter Robinson,91,0.593,0.503,8,-6.725,0,0.22,0.293,0,0.405,0.71,178.781,137704
One Dance,Drake,84,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624
Lean On,Major Lazer,76,0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,132000
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,87,0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,160191
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,85,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,226600
