SongName,ArtistName,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Night Changes,One Direction,36,0.292,0.945,4,-6.772,1,0.193,0.178,0.0767,0.348,0.0615,162.172,300173
Alive,Empire of the Sun,66,0.272,0.281,10,-8.131,1,0.0307,0.618,0,0.111,0.152,138.856,305893
A Thousand Years,Christina Perri,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
I Know It's You,Guards,81,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,Christina Perri,81,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
Sygrayem (Let's Play),Carlos Rafael Rivera,50,0.472,0.612,0,-10.982,1,0.0424,0.448,0.823,0.41,0.499,92.998,109896
Experience,Ludovico Einaudi,52,0.0916,0.0271,0,-27.397,0,0.0404,0.945,0.847,0.0892,0.0594,55.269,127615
Experience,Ludovico Einaudi,41,0.437,0.022,11,-29.447,0,0.04,0.976,0.916,0.11,0.0791,99.971,74046
Main Title,Carlos Rafael Rivera,41,0.322,0.257,5,-19.638,1,0.0359,0.387,0.906,0.0889,0.0378,60.344,78496
Beth's Story,Carlos Rafael Rivera,42,0.276,0.0985,5,-28.017,0,0.0342,0.989,0.907,0.0795,0.125,134.587,66448
Methuen Home For Children 1957,Carlos Rafael Rivera,45,0.352,0.0774,9,-24.864,0,0.0345,0.946,0.877,0.118,0.138,108.077,184294
The Scholar's Mate,Carlos Rafael Rivera,95,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,178147
You're Gloating,Carlos Rafael Rivera,90,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
Training With Mr. Schaibel,Carlos Rafael Rivera,89,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,203064
good 4 u,Olivia Rodrigo,88,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,164442
Kiss Me More (feat. SZA),Doja Cat,91,0.593,0.503,8,-6.725,0,0.22,0.293,0,0.405,0.71,178.781,137704
Levitating (feat. DaBaby),Dua Lipa,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Butter,BTS,60,0.534,0.159,7,-14.304,1,0.0288,0.917,0,0.109,0.184,80.047,200438
MONTERO (Call Me By Your Name),Lil Nas X,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Baarishein,Anuv Jain,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Mishri,Anuv Jain,79,0.748,0.734,0,-6.499,1,0.124,0.524,1.15E-05,0.0975,0.368,97.753,80081
Baarishein,Anuv Jain,0,0.507,0.828,10,-6.023,1,0.0449,0.00711,2.44E-05,0.261,0.489,178.032,211295
Baarishein,Anuv Jain,59,0.751,0.857,1,-4.385,0,0.0752,0.31,0,0.0801,0.501,104.984,151999
SugarCrash!,ElyOtto,59,0.751,0.857,1,-4.385,0,0.0752,0.31,0,0.0801,0.501,104.984,151999
Higher Power,Coldplay,79,0.748,0.734,0,-6.499,1,0.124,0.524,1.15E-05,0.0975,0.368,97.753,80081
Break My Heart Myself (feat. Travis Barker),Bebe Rexha,0,0.507,0.828,10,-6.023,1,0.0449,0.00711,2.44E-05,0.261,0.489,178.032,211295
Break My Heart Myself (feat. Travis Barker),Bebe Rexha,61,0.344,0.873,10,-3.387,1,0.221,0.0932,0,0.153,0.307,170.041,192353
SugarCrash!,ElyOtto,0,0.471,0.335,4,-8.767,0,0.0273,0.593,2.11E-05,0.297,0.111,145.252,243907
Higher Power,Coldplay,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Echo (with KSHMR),Armaan Malik,65,0.699,0.299,6,-12.599,1,0.0403,0.869,0,0.0724,0.459,118.969,212773
Astronomy,Conan Gray,66,0.63,0.729,6,-4.93,1,0.0287,0.123,8.00E-06,0.0786,0.44,127.919,234737
Baarishein,Anuv Jain,59,0.338,0.459,2,-8.827,1,0.027,0.533,1.33E-05,0.22,0.32,81.203,255739
Alag Aasmaan,Anuv Jain,77,0.735,0.584,1,-5.047,1,0.14,0.189,0,0.125,0.395,93.016,219187
Sau Aasmaan,Armaan Malik,59,0.657,0.582,1,-6.735,1,0.0646,0.113,0,0.182,0.574,82.023,200861
Besabriyaan,Armaan Malik,67,0.614,0.605,0,-5.63,1,0.0319,0.21,0,0.162,0.333,127.099,217867
What If (I Told You I Like You),Johnny Orlando,0,0.333,0.637,1,-4.904,0,0.0581,0.131,1.80E-05,0.149,0.132,139.898,172693
Everybody Wants You,Johnny Orlando,86,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,215107
Two of Us,Louis Tomlinson,68,0.302,0.414,2,-8.16,1,0.0319,0.0575,0,0.0861,0.105,110.508,242956
Wonder,Shawn Mendes,61,0.703,0.628,0,-5.914,1,0.203,0.364,0,0.384,0.471,138.032,205217
Before You Go,Lewis Capaldi,85,0.516,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.861,173307
"A Whole New World (End Title) - From ""Aladdin""",ZAYN,81,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
Just Like You,Louis Tomlinson,81,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
What A Time (feat. Niall Horan),Julia Michaels,81,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
Experience,Ludovico Einaudi,81,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
Experience,Ludovico Einaudi,59,0.578,0.194,9,-19.643,0,0.0381,0.991,0.919,0.0545,0.0596,100.02,284616
Experience,Ludovico Einaudi,63,0.331,0.0451,9,-24.527,0,0.0337,0.908,0.931,0.0893,0.0381,95.954,243209
Experience,Ludovico Einaudi,63,0.331,0.0451,9,-24.527,0,0.0337,0.908,0.931,0.0893,0.0381,95.954,243209
Interstellar Main Theme - Piano Version,Patrik Pietschmann,63,0.331,0.0451,9,-24.527,0,0.0337,0.908,0.931,0.0893,0.0381,95.954,243209
Interstellar- Main Theme,Geek Music,63,0.331,0.0451,9,-24.527,0,0.0337,0.908,0.931,0.0893,0.0381,95.954,243209
Interstellar- Main Theme,Geek Music,63,0.331,0.0451,9,-24.527,0,0.0337,0.908,0.931,0.0893,0.0381,95.954,243209
Interstellar- Main Theme,Geek Music,63,0.331,0.0451,9,-24.527,0,0.0337,0.908,0.931,0.0893,0.0381,95.954,243209
Interstellar- Main Theme,Geek Music,63,0.331,0.0451,9,-24.527,0,0.0337,0.908,0.931,0.0893,0.0381,95.954,243209
Interstellar- Main Theme,Geek Music,63,0.331,0.0451,9,-24.527,0,0.0337,0.908,0.931,0.0893,0.0381,95.954,243209
Interstellar- Main Theme,Geek Music,63,0.331,0.0451,9,-24.527,0,0.0337,0.908,0.931,0.0893,0.0381,95.954,243209
Interstellar- Main Theme,Geek Music,63,0.331,0.0451,9,-24.527,0,0.0337,0.908,0.931,0.0893,0.0381,95.954,243209
Interstellar- Main Theme,Geek Music,67,0.614,0.605,0,-5.63,1,0.0319,0.21,0,0.162,0.333,127.099,217867
Interstellar- Main Theme,Geek Music,71,0.744,0.514,6,-6.103,1,0.0746,0.355,0,0.184,0.449,136.013,228816
Interstellar- Main Theme,Geek Music,81,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,201661
Two of Us,Louis Tomlinson,88,0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148,169266
Without Me (with Juice WRLD),Halsey,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
Without Me,Halsey,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
you broke me first,Tate McRae,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
Sygrayem (Let's Play),Carlos Rafael Rivera,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
Sygrayem (Let's Play),Carlos Rafael Rivera,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
Sygrayem (Let's Play),Carlos Rafael Rivera,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
Sygrayem (Let's Play),Carlos Rafael Rivera,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
Sygrayem (Let's Play),Carlos Rafael Rivera,59,0.751,0.857,1,-4.385,0,0.0752,0.31,0,0.0801,0.501,104.984,151999
Sygrayem (Let's Play),Carlos Rafael Rivera,79,0.748,0.734,0,-6.499,1,0.124,0.524,1.15E-05,0.0975,0.368,97.753,80081
Sygrayem (Let's Play),Carlos Rafael Rivera,0,0.507,0.828,10,-6.023,1,0.0449,0.00711,2.44E-05,0.261,0.489,178.032,211295
Break My Heart Myself (feat. Travis Barker),Bebe Rexha,61,0.344,0.873,10,-3.387,1,0.221,0.0932,0,0.153,0.307,170.041,192353
SugarCrash!,ElyOtto,0,0.471,0.335,4,-8.767,0,0.0273,0.593,2.11E-05,0.297,0.111,145.252,243907
Higher Power,Coldplay,15,0.68,0.895,2,-7.144,1,0.0378,0.0156,0.000374,0.145,0.824,93.037,189375
Echo (with KSHMR),Armaan Malik,58,0.643,0.812,1,-6.862,0,0.0366,0.0476,1.34E-06,0.276,0.274,86.984,215197
Astronomy,Conan Gray,59,0.46,0.444,7,-6.217,1,0.123,0.714,2.65E-05,0.0881,0.7,74.977,227335
Jalebi Baby,Tesher,67,0.614,0.605,0,-5.63,1,0.0319,0.21,0,0.162,0.333,127.099,217867
Switch It Up (feat. sokodomo) - Prod. Cha Cha Malone,JAY B,65,0.639,0.411,2,-5.979,1,0.042,0.55,0,0.141,0.158,96.965,180120
Mera Mann Kehne Laga,Falak Shabir,81,0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,222091
Two of Us,Louis Tomlinson,0,0.523,0.607,1,-4.754,0,0.03,0.512,0,0.106,0.0651,145.837,217867
Good Years,ZAYN,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Grenade,Bruno Mars,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Talking to the Moon,Bruno Mars,77,0.428,0.276,4,-11.729,1,0.0312,0.732,5.33E-06,0.117,0.0382,99.195,280000
Baarishein,Anuv Jain,84,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,210960
Baarishein,Anuv Jain,84,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,210960
"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,46,0.763,0.84,9,-3.907,1,0.0354,0.0451,0.00435,0.104,0.349,127.046,249244
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Stereo Love,Edward Maya,80,0.706,0.625,0,-7.426,1,0.0314,0.0417,0,0.129,0.225,142.948,242181
Baarishein,Anuv Jain,80,0.706,0.625,0,-7.426,1,0.0314,0.0417,0,0.129,0.225,142.948,242181
Baarishein,Anuv Jain,72,0.635,0.554,2,-3.975,0,0.0343,0.134,0,0.116,0.315,156.822,196147
Righteous,Juice WRLD,73,0.53,0.37,6,-9.989,1,0.0279,0.806,0,0.112,0.701,140.061,206734
Righteous,Juice WRLD,57,0.443,0.579,6,-6.517,0,0.187,0.125,0,0.284,0.256,83.827,240437
734,Juice WRLD,84,0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485
Life's A Mess II (with Clever & Post Malone),Juice WRLD,72,0.761,0.517,5,-6.916,1,0.0927,0.114,0,0.157,0.46,147.912,174730
Lucid Dreams (feat. Lil Uzi Vert) - Remix,Juice WRLD,77,0.745,0.5,8,-6.184,1,0.135,0.439,0,0.0943,0.433,76.968,168685
Come & Go (with Marshmello),Juice WRLD,82,0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,189323
Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,66,0.68,0.766,11,-4.799,0,0.0923,0.0411,0,0.116,0.28,160.095,180000
Stay High,Juice WRLD,67,0.788,0.605,1,-5.586,1,0.0578,0.00899,0.00275,0.318,0.427,103.94,173973
Bandit (with YoungBoy Never Broke Again),Juice WRLD,74,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561
No Me Ame,Rvssian,87,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040
One Dance,Drake,81,0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,244885
Lean On,Major Lazer,84,0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,228093
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,86,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,178627
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,86,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427
Somebody That I Used To Know,Gotye,83,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373
Rolling in the Deep,Adele,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637
7 rings,Ariana Grande,50,0.472,0.612,0,-10.982,1,0.0424,0.448,0.823,0.41,0.499,92.998,109896
Wake Me Up,Avicii,52,0.0916,0.0271,0,-27.397,0,0.0404,0.945,0.847,0.0892,0.0594,55.269,127615
Love The Way You Lie,Eminem,46,0.763,0.84,9,-3.907,1,0.0354,0.0451,0.00435,0.104,0.349,127.046,249244
Sygrayem (Let's Play),Carlos Rafael Rivera,64,0.474,0.792,5,-3.302,1,0.051,0.0662,1.09E-06,0.277,0.31,141.926,251831
Main Title,Carlos Rafael Rivera,55,0.619,0.631,11,-6.018,1,0.104,0.131,1.18E-06,0.246,0.772,106.309,175305
Beth's Story,Carlos Rafael Rivera,45,0.764,0.54,9,-7.098,1,0.14,0.169,0,0.447,0.719,130.035,150559
Stereo Love,Edward Maya,52,0.0916,0.0271,0,-27.397,0,0.0404,0.945,0.847,0.0892,0.0594,55.269,127615
Sideways,ILLENIUM,50,0.472,0.612,0,-10.982,1,0.0424,0.448,0.823,0.41,0.499,92.998,109896
Morning,Zara Larsson,52,0.0916,0.0271,0,-27.397,0,0.0404,0.945,0.847,0.0892,0.0594,55.269,127615
I Should Quit,JESSIA,41,0.437,0.022,11,-29.447,0,0.04,0.976,0.916,0.11,0.0791,99.971,74046
Beth's Story,Carlos Rafael Rivera,41,0.322,0.257,5,-19.638,1,0.0359,0.387,0.906,0.0889,0.0378,60.344,78496
Main Title,Carlos Rafael Rivera,42,0.276,0.0985,5,-28.017,0,0.0342,0.989,0.907,0.0795,0.125,134.587,66448
Beth's Story,Carlos Rafael Rivera,45,0.352,0.0774,9,-24.864,0,0.0345,0.946,0.877,0.118,0.138,108.077,184294
Methuen Home For Children 1957,Carlos Rafael Rivera,40,0.149,0.00502,2,-29.404,0,0.0434,0.901,0.894,0.0903,0.0364,77.257,78943
The Scholar's Mate,Carlos Rafael Rivera,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
You're Gloating,Carlos Rafael Rivera,69,0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,207310
Training With Mr. Schaibel,Carlos Rafael Rivera,66,0.544,0.704,4,-5.678,0,0.0435,0.0156,0,0.164,0.265,80.029,189062
