SongName,ArtistName,Popularity,Tempo,Genre
Break My Heart Myself (feat. Travis Barker),Bebe Rexha,0,178.032,rock
Break My Heart Myself (feat. Travis Barker),Bebe Rexha,61,170.041,rock
SugarCrash!,ElyOtto,0,145.252,jazz
Higher Power,Coldplay,69,94.42,acoustic
Echo (with KSHMR),Armaan Malik,65,118.969,acoustic
Astronomy,Conan Gray,66,127.919,pop
Baarishein,Anuv Jain,59,81.203,jazz
Alag Aasmaan,Anuv Jain,77,93.016,pop
Sau Aasmaan,Armaan Malik,59,82.023,pop
Besabriyaan,Armaan Malik,67,127.099,pop
What If (I Told You I Like You),Johnny Orlando,0,139.898,pop
Everybody Wants You,Johnny Orlando,86,111.881,pop
Two of Us,Louis Tomlinson,68,110.508,jazz
Wonder,Shawn Mendes,61,138.032,pop
Before You Go,Lewis Capaldi,85,132.861,acoustic
"A Whole New World (End Title) - From ""Aladdin""",ZAYN,81,92.468,instrumental
Just Like You,Louis Tomlinson,81,92.468,instrumental
What A Time (feat. Niall Horan),Julia Michaels,81,92.468,instrumental
Experience,Ludovico Einaudi,81,92.468,instrumental
Experience,Ludovico Einaudi,59,100.02,instrumental
Experience,Ludovico Einaudi,63,95.954,instrumental
Experience,Ludovico Einaudi,63,95.954,instrumental
Interstellar Main Theme - Piano Version,Patrik Pietschmann,63,95.954,instrumental
Interstellar- Main Theme,Geek Music,63,95.954,instrumental
Interstellar- Main Theme,Geek Music,63,95.954,instrumental
Interstellar- Main Theme,Geek Music,63,95.954,instrumental
Interstellar- Main Theme,Geek Music,63,95.954,instrumental
Interstellar- Main Theme,Geek Music,63,95.954,instrumental
Interstellar- Main Theme,Geek Music,63,95.954,instrumental
Interstellar- Main Theme,Geek Music,63,95.954,instrumental
Interstellar- Main Theme,Geek Music,67,127.099,pop
Interstellar- Main Theme,Geek Music,71,136.013,pop
Interstellar- Main Theme,Geek Music,81,136.041,pop
Two of Us,Louis Tomlinson,88,124.148,acoustic
Without Me (with Juice WRLD),Halsey,40,112.001,instrumental
Without Me,Halsey,40,112.001,instrumental
you broke me first,Tate McRae,40,112.001,instrumental
Sygrayem (Let's Play),Carlos Rafael Rivera,40,112.001,instrumental
Sygrayem (Let's Play),Carlos Rafael Rivera,40,112.001,instrumental
Sygrayem (Let's Play),Carlos Rafael Rivera,40,112.001,instrumental
Sygrayem (Let's Play),Carlos Rafael Rivera,40,112.001,instrumental
Sygrayem (Let's Play),Carlos Rafael Rivera,59,104.984,rock
Sygrayem (Let's Play),Carlos Rafael Rivera,79,97.753,pop
Sygrayem (Let's Play),Carlos Rafael Rivera,0,178.032,rock
Break My Heart Myself (feat. Travis Barker),Bebe Rexha,61,170.041,rock
SugarCrash!,ElyOtto,0,145.252,jazz
Higher Power,Coldplay,15,93.037,rock
Echo (with KSHMR),Armaan Malik,58,86.984,rock
Astronomy,Conan Gray,59,74.977,acoustic
Jalebi Baby,Tesher,67,127.099,pop
Switch It Up (feat. sokodomo) - Prod. Cha Cha Malone,JAY B,65,96.965,pop
Mera Mann Kehne Laga,Falak Shabir,81,110.444,pop
Two of Us,Louis Tomlinson,0,145.837,pop
Good Years,ZAYN,69,94.42,acoustic
Grenade,Bruno Mars,69,94.42,acoustic
Talking to the Moon,Bruno Mars,77,99.195,acoustic
Baarishein,Anuv Jain,84,89.99,pop
Baarishein,Anuv Jain,84,89.99,pop
"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,46,127.046,rock
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,69,94.42,acoustic
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,69,94.42,acoustic
Stereo Love,Edward Maya,80,142.948,pop
Baarishein,Anuv Jain,80,142.948,pop
Baarishein,Anuv Jain,72,156.822,pop
Righteous,Juice WRLD,73,140.061,acoustic
Righteous,Juice WRLD,57,83.827,pop
734,Juice WRLD,84,144.991,rock
Life's A Mess II (with Clever & Post Malone),Juice WRLD,72,147.912,pop
Lucid Dreams (feat. Lil Uzi Vert) - Remix,Juice WRLD,77,76.968,pop
Come & Go (with Marshmello),Juice WRLD,82,180.051,hiphop
Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,66,160.095,electronic
Stay High,Juice WRLD,67,103.94,pop
Bandit (with YoungBoy Never Broke Again),Juice WRLD,74,98.007,rock
No Me Ame,Rvssian,87,89.911,pop
One Dance,Drake,81,129.059,pop
Lean On,Major Lazer,84,104.948,dance
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,86,140.048,hiphop
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,86,124.08,pop
Somebody That I Used To Know,Gotye,83,86.989,rock
Rolling in the Deep,Adele,40,112.001,instrumental
7 rings,Ariana Grande,50,92.998,instrumental
Wake Me Up,Avicii,52,55.269,instrumental
Love The Way You Lie,Eminem,46,127.046,rock
Sygrayem (Let's Play),Carlos Rafael Rivera,64,141.926,pop
Main Title,Carlos Rafael Rivera,55,106.309,pop
Beth's Story,Carlos Rafael Rivera,45,130.035,pop
Stereo Love,Edward Maya,52,55.269,instrumental
Sideways,ILLENIUM,50,92.998,instrumental
Morning,Zara Larsson,52,55.269,instrumental
I Should Quit,JESSIA,41,99.971,instrumental
Beth's Story,Carlos Rafael Rivera,41,60.344,instrumental
Main Title,Carlos Rafael Rivera,42,134.587,instrumental
Beth's Story,Carlos Rafael Rivera,45,108.077,instrumental
Methuen Home For Children 1957,Carlos Rafael Rivera,40,77.257,instrumental
The Scholar's Mate,Carlos Rafael Rivera,69,94.42,acoustic
You're Gloating,Carlos Rafael Rivera,69,94.42,acoustic
Training With Mr. Schaibel,Carlos Rafael Rivera,66,80.029,pop
Am I Good Enough Now?,Carlos Rafael Rivera,79,124.01,rock
