SongName,ArtistName,Popularity,Tempo,Genre
Mask Off,Future,0,75.051,acoustic
Mask Off - Marshmello Remix,Future,77,119.986,rock
Mera Mann Kehne Laga,Falak Shabir,81,110.444,pop
Methuen Home For Children 1957,Carlos Rafael Rivera,45,108.077,instrumental
Mi Amor,Sharn,15.424581005586592,100,pop
Mishri,Anuv Jain,79,97.753,pop
MONTERO (Call Me By Your Name),Lil Nas X,87,148.088,pop
Morning,Zara Larsson,52,55.269,instrumental
"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,46,127.046,rock
My Way,Calvin Harris,0,111.995,rock
Night Changes,One Direction,36,162.172,rock
Nightlight,ILLENIUM,82,139.028,jazz
No Love,Shubh,12.937086092715232,105,hiphop
No Me Ame,Rvssian,87,89.911,pop
One Dance,Drake,81,129.059,pop
One More Day (with Chandler Leighton),Jason Ross,89,124.949,dance
Our Song,Anne-Marie,82,102.931,pop
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,85,99.048,pop
People Help the People,Birdy,67,73.254,acoustic
Perfect,One Direction,79,97.753,pop
Perfect Strangers,Jonas Blue,59,104.984,rock
Radioactive,Imagine Dragons,0,145.837,pop
Rather Be (feat. Jess Glynne),Clean Bandit,57,109.569,acoustic
Righteous,Juice WRLD,73,140.061,acoustic
River Flows In You,Yiruma,87,146.04,acoustic
Rolling in the Deep,Adele,40,112.001,instrumental
Saiyaan Ji,Yo Yo Honey Singh,62,130.024,pop
Sau Aasmaan,Armaan Malik,59,82.023,pop
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,40,112.001,instrumental
seaside_demo,SEB,73,93.007,rock
Shape of You,Ed Sheeran,0,75.051,acoustic
Shayad,Pritam,72,135.864,acoustic
Sideways,ILLENIUM,66,119.94,rock
Softly,Karan Aujla,12.9375,110,hiphop
Somebody That I Used To Know,Gotye,63,118.086,acoustic
Stay High,Juice WRLD,67,103.94,pop
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,69,94.42,acoustic
Stereo Love,Edward Maya,80,142.948,pop
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,78,169.021,electronic
SugarCrash!,ElyOtto,59,104.984,rock
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,86,140.048,hiphop
Swang,Rae Sremmurd,0,139.991,pop
Switch It Up (feat. sokodomo) - Prod. Cha Cha Malone,JAY B,65,96.965,pop
Sygrayem (Let's Play),Carlos Rafael Rivera,74,80.95,pop
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,87,95.977,pop
Take Me To Church,Hozier,76,150.978,pop
Takeaway,The Chainsmokers,80,139.02,pop
Talking to the Moon,Bruno Mars,77,99.195,acoustic
